sample_alias	tax_id	scientific_name	common_name	anonymized_name	sample_title	sample_description	COUNTRY	tissue_type	Source	DNA_Designation	DNA_Accno_source	DNA_VARNAME	DNA_VARNAME_unicode	DNA_Othername	Genetic_Stock_Accno	Genetic_stock_Designation(varname)	Variety Group (Tree)
IRIS_313-9002	4530	Oryza sativa	rice	IRIS 313-9002	WGS sequence of Rice line IRIS 313-9002	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Japan	leaf	IRRI	KOTOBUKI MOCHI::IRGC 2545-1-1	IRGC 2545	KOTOBUKI MOCHI	KOTOBUKI MOCHI		IRGC 117518	KOTOBUKI MOCHI	Temperate japonica
IRIS_313-9193	4530	Oryza sativa	rice	IRIS 313-9193	WGS sequence of Rice line IRIS 313-9193	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Brazil	leaf	IRRI	EAN 4 C 1::IRGC 26016-1-1	IRGC 26016	EAN 4 C 1	EAN 4 C 1		IRGC 125732	EAN 4 C 1::IRGC 26016-1	Temperate japonica
IRIS_313-9228	4530	Oryza sativa	rice	IRIS 313-9228	WGS sequence of Rice line IRIS 313-9228	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Japan	leaf	IRRI	HOKUSETSU::IRGC 65705-1-1	IRGC 65705	HOKUSETSU	HOKUSETSU		IRGC 125764	HOKUSETSU::IRGC 65705-1	Temperate japonica
IRIS_313-9233	4530	Oryza sativa	rice	IRIS 313-9233	WGS sequence of Rice line IRIS 313-9233	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	China	leaf	IRRI	CHUNG YI::IRGC 1427-1-1	IRGC 1427	CHUNG YI	CHUNG YI		IRGC 125709	CHUNG YI::IRGC 1427-1	Temperate japonica
IRIS_313-9379	4530	Oryza sativa	rice	IRIS 313-9379	WGS sequence of Rice line IRIS 313-9379	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	South Korea	leaf	IRRI	HWANGJO::IRGC 55547-1-1	IRGC 55547	HWANGJO	HWANGJO		IRGC 125768	HWANGJO::IRGC 55547-1	Temperate japonica
IRIS_313-9410	4530	Oryza sativa	rice	IRIS 313-9410	WGS sequence of Rice line IRIS 313-9410	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	United States	leaf	IRRI	CI 9498::IRGC 2134-1-1	IRGC 2134	CA2914A(SEL2400)/CALO	CA2914A(SEL2400)/CALO		IRGC 125712	CI 9498::IRGC 2134-1	Temperate japonica
IRIS_313-9463	4530	Oryza sativa	rice	IRIS 313-9463	WGS sequence of Rice line IRIS 313-9463	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	United States	leaf	IRRI	CI 1600::IRGC 16305-1-1	IRGC 16305	CI 1600	CI 1600		IRGC 125710	CI 1600::IRGC 16305-1	Temperate japonica
IRIS_313-9468	4530	Oryza sativa	rice	IRIS 313-9468	WGS sequence of Rice line IRIS 313-9468	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	China	leaf	IRRI	NONG KE::IRGC 59807-1-1	IRGC 59807	NONG KE	NONG KE		IRGC 125856	NONG KE::IRGC 59807-1	Temperate japonica
IRIS_313-9698	4530	Oryza sativa	rice	IRIS 313-9698	WGS sequence of Rice line IRIS 313-9698	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	North Korea	leaf	IRRI	JO SANG DAE YA::IRGC 90852-1-1	IRGC 90852	JO SANG DAE YA	JO SANG DAE YA		IRGC 125788	JO SANG DAE YA::IRGC 90852-1	Temperate japonica
IRIS_313-9701	4530	Oryza sativa	rice	IRIS 313-9701	WGS sequence of Rice line IRIS 313-9701	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Taiwan	leaf	IRRI	TAICHUNG 65::IRGC 79-1-1	IRGC 79	TAICHUNG 65	TAICHUNG 65		IRGC 125911	TAICHUNG 65::IRGC 79-1	Temperate japonica
IRIS_313-9702	4530	Oryza sativa	rice	IRIS 313-9702	WGS sequence of Rice line IRIS 313-9702	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Taiwan	leaf	IRRI	TAICHUNG 179::IRGC 85-1-1	IRGC 85	TAICHUNG 179	TAICHUNG 179		IRGC 125910	TAICHUNG 179::IRGC 85-1	Temperate japonica
IRIS_313-9725	4530	Oryza sativa	rice	IRIS 313-9725	WGS sequence of Rice line IRIS 313-9725	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	China	leaf	IRRI	DA DAO TOU::IRGC 59499-1-1	IRGC 59499	DA DAO TOU	DA DAO TOU		IRGC 125718	DA DAO TOU::IRGC 59499-1	Temperate japonica
IRIS_313-9769	4530	Oryza sativa	rice	IRIS 313-9769	WGS sequence of Rice line IRIS 313-9769	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Japan	leaf	IRRI	MURASAHITSUTSURI::IRGC 2493-1-1	IRGC 2493	MURASAHITSUTSURI	MURASAHITSUTSURI		IRGC 125846	MURASAHITSUTSURI::IRGC 2493-1	Temperate japonica
IRIS_313-9774	4530	Oryza sativa	rice	IRIS 313-9774	WGS sequence of Rice line IRIS 313-9774	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Turkey	leaf	IRRI	167::IRGC 3217-1-1	IRGC 3217	EGYPTIAN	EGYPTIAN		IRGC 125629	EGYPTIAN::IRGC 3217-1	Temperate japonica
IRIS_313-9782	4530	Oryza sativa	rice	IRIS 313-9782	WGS sequence of Rice line IRIS 313-9782	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Peru	leaf	IRRI	BENLLOK::IRGC 3404-1-1	IRGC 3404	BENLLOK	BENLLOK		IRGC 127036	BENLLOK::IRGC 3404-1	Temperate japonica
IRIS_313-9790	4530	Oryza sativa	rice	IRIS 313-9790	WGS sequence of Rice line IRIS 313-9790	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Uruguay	leaf	IRRI	JAPONES BALILLA::IRGC 5785-1-1	IRGC 5785	JAPONES BALILLA	JAPONES BALILLA		IRGC 125781	JAPONES BALILLA::IRGC 5785-1	Temperate japonica
IRIS_313-9813	4530	Oryza sativa	rice	IRIS 313-9813	WGS sequence of Rice line IRIS 313-9813	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Hungary	leaf	IRRI	SZANISZLO 2::IRGC 9353-1-1	IRGC 9353	SZANISZLO 2	SZANISZLO 2		IRGC 125908	SZANISZLO 2::IRGC 9353-1	Temperate japonica
IRIS_313-9838	4530	Oryza sativa	rice	IRIS 313-9838	WGS sequence of Rice line IRIS 313-9838	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	New Zealand	leaf	IRRI	TEPUKE::IRGC 12872-1-1	IRGC 12872	TEPUKE	TEPUKE		IRGC 125919	TEPUKE::IRGC 12872-1	Temperate japonica
IRIS_313-9839	4530	Oryza sativa	rice	IRIS 313-9839	WGS sequence of Rice line IRIS 313-9839	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Spain	leaf	IRRI	O SATIVA::IRGC 12876-1-1	IRGC 12876	COLUSA/NANO F 31	COLUSA/NANO F 31		IRGC 125862	O. SATIVA::IRGC 12876-1	Temperate japonica
IRIS_313-9884	4530	Oryza sativa	rice	IRIS 313-9884	WGS sequence of Rice line IRIS 313-9884	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Japan	leaf	IRRI	FUKUSHIMA MOCHI (GLUT)::IRGC 19296-1-1	IRGC 19296	FUKUSHIMA-MOCHI(GLUT.)	FUKUSHIMA-MOCHI(GLUT.)		IRGC 125743	FUKUSHIMA MOCHI (GLUT)::IRGC 19296-1	Temperate japonica
IRIS_313-9886	4530	Oryza sativa	rice	IRIS 313-9886	WGS sequence of Rice line IRIS 313-9886	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	South Korea	leaf	IRRI	HUK ZO::IRGC 19760-1-1	IRGC 19760	HUK ZO	HUK ZO		IRGC 125767	HUK ZO::IRGC 19760-1	Temperate japonica
IRIS_313-9887	4530	Oryza sativa	rice	IRIS 313-9887	WGS sequence of Rice line IRIS 313-9887	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	South Korea	leaf	IRRI	JEUK DO::IRGC 19775-1-1	IRGC 19775	JEUK DO	JEUK DO		IRGC 125784	JEUK DO::IRGC 19775-1	Temperate japonica
IRIS_313-9890	4530	Oryza sativa	rice	IRIS 313-9890	WGS sequence of Rice line IRIS 313-9890	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	South Korea	leaf	IRRI	WA BANG::IRGC 19880-1-1	IRGC 19880	WA BANG	WA BANG		IRGC 125934	WA BANG::IRGC 19880-1	Temperate japonica
IRIS_313-9891	4530	Oryza sativa	rice	IRIS 313-9891	WGS sequence of Rice line IRIS 313-9891	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	South Korea	leaf	IRRI	YONG AN HUK::IRGC 19891-1-1	IRGC 19891	YONG AN HUK	YONG AN HUK		IRGC 125945	YONG AN HUK::IRGC 19891-1	Temperate japonica
IRIS_313-9937	4530	Oryza sativa	rice	IRIS 313-9937	WGS sequence of Rice line IRIS 313-9937	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Italy	leaf	IRRI	ROCCA::IRGC 50351-1-1	IRGC 50351	ROCCA	ROCCA		IRGC 125888	ROCCA::IRGC 50351-1	Aus/boro
IRIS_313-9961	4530	Oryza sativa	rice	IRIS 313-9961	WGS sequence of Rice line IRIS 313-9961	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Norway	leaf	IRRI	WIR 884::IRGC 51591-1-1	IRGC 51591	WIR884	WIR884		IRGC 125939	WIR 884::IRGC 51591-1	Temperate japonica
IRIS_313-9963	4530	Oryza sativa	rice	IRIS 313-9963	WGS sequence of Rice line IRIS 313-9963	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Sri Lanka	leaf	IRRI	WIR 1391::IRGC 51605-1-1	IRGC 51605	WIR1391	WIR1391				Temperate japonica
IRIS_313-9964	4530	Oryza sativa	rice	IRIS 313-9964	WGS sequence of Rice line IRIS 313-9964	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Georgia	leaf	IRRI	WIR 1951::IRGC 51643-1-1	IRGC 51643	WIR1951	WIR1951		IRGC 125938	WIR 1951::IRGC 51643-1	Temperate japonica
IRIS_313-9974	4530	Oryza sativa	rice	IRIS 313-9974	WGS sequence of Rice line IRIS 313-9974	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	South Korea	leaf	IRRI	HEUKSANJO::IRGC 55536-1-1	IRGC 55536	HEUKSANJO	HEUKSANJO		IRGC 125761	HEUKSANJO::IRGC 55536-1	Temperate japonica
IRIS_313-9996	4530	Oryza sativa	rice	IRIS 313-9996	WGS sequence of Rice line IRIS 313-9996	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	South Korea	leaf	IRRI	SUWEON 295::IRGC 58368-1-1	IRGC 58368	SUWEON 295	SUWEON 295		IRGC 126990	SUWEON 295::IRGC 58368-1	Tropical japonica
IRIS_313-10014	4530	Oryza sativa	rice	IRIS 313-10014	WGS sequence of Rice line IRIS 313-10014	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Italy	leaf	IRRI	SANT ANDREA::IRGC 65732-1-1	IRGC 65732	SANT ANDREA	SANT ANDREA		IRGC 125898	SANT ANDREA::IRGC 65732-1	Temperate japonica
IRIS_313-10056	4530	Oryza sativa	rice	IRIS 313-10056	WGS sequence of Rice line IRIS 313-10056	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Japan	leaf	IRRI	HOKURIKU 52::IRGC 72491-1-1	IRGC 72491	HOKURIKU 52	HOKURIKU 52		IRGC 125763	HOKURIKU 52::IRGC 72491-1	Temperate japonica
IRIS_313-10057	4530	Oryza sativa	rice	IRIS 313-10057	WGS sequence of Rice line IRIS 313-10057	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Japan	leaf	IRRI	CHUGOKU 68 HEN::IRGC 72514-1-1	IRGC 72514	CHUGOKU 68 HEN	CHUGOKU 68 HEN		IRGC 125707	CHUGOKU 68 HEN::IRGC 72514-1	Temperate japonica
IRIS_313-10059	4530	Oryza sativa	rice	IRIS 313-10059	WGS sequence of Rice line IRIS 313-10059	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	South Korea	leaf	IRRI	DACHEONGBYEO::IRGC 72533-1-1	IRGC 72533	DACHEONGBYEO	DACHEONGBYEO		IRGC 125717	DACHEONGBYEO::IRGC 72533-1	Temperate japonica
IRIS_313-10083	4530	Oryza sativa	rice	IRIS 313-10083	WGS sequence of Rice line IRIS 313-10083	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Spain	leaf	IRRI	BETIS::IRGC 74581-1-1	IRGC 74581	BETIS	BETIS		IRGC 125679	BETIS::IRGC 74581-1	Temperate japonica
IRIS_313-10084	4530	Oryza sativa	rice	IRIS 313-10084	WGS sequence of Rice line IRIS 313-10084	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Spain	leaf	IRRI	SENIA::IRGC 74582-1-1	IRGC 74582	SENIA	SENIA		IRGC 125899	SENIA::IRGC 74582-1	Temperate japonica
IRIS_313-10089	4530	Oryza sativa	rice	IRIS 313-10089	WGS sequence of Rice line IRIS 313-10089	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Bulgaria	leaf	IRRI	KALIN::IRGC 77312-1-1	IRGC 77312	KALIN	KALIN		IRGC 125791	KALIN::IRGC 77312-1	Temperate japonica
IRIS_313-10092	4530	Oryza sativa	rice	IRIS 313-10092	WGS sequence of Rice line IRIS 313-10092	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	South Korea	leaf	IRRI	CHALBYEO::IRGC 77639-1-1	IRGC 77639	CHALBYEO	CHALBYEO		IRGC 125698	CHALBYEO::IRGC 77639-1	Temperate japonica
IRIS_313-10093	4530	Oryza sativa	rice	IRIS 313-10093	WGS sequence of Rice line IRIS 313-10093	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	South Korea	leaf	IRRI	CHEONJUDO::IRGC 77644-1-1	IRGC 77644	CHEONJUDO	CHEONJUDO		IRGC 125700	CHEONJUDO::IRGC 77644-1	Temperate japonica
IRIS_313-10097	4530	Oryza sativa	rice	IRIS 313-10097	WGS sequence of Rice line IRIS 313-10097	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	South Korea	leaf	IRRI	MAEKJO::IRGC 77666-1-1	IRGC 77666	MAEKJO	MAEKJO		IRGC 125830	MAEKJO::IRGC 77666-1	Temperate japonica
IRIS_313-10111	4530	Oryza sativa	rice	IRIS 313-10111	WGS sequence of Rice line IRIS 313-10111	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Italy	leaf	IRRI	MOLO::IRGC 81603-1-1	IRGC 81603	MOLO	MOLO		IRGC 125843	MOLO::IRGC 81603-1	Temperate japonica
IRIS_313-10119	4530	Oryza sativa	rice	IRIS 313-10119	WGS sequence of Rice line IRIS 313-10119	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Italy	leaf	IRRI	GITANO::IRGC 82424-1-1	IRGC 82424	GITANO	GITANO		IRGC 125752	GITANO::IRGC 82424-1	Temperate japonica
IRIS_313-10164	4530	Oryza sativa	rice	IRIS 313-10164	WGS sequence of Rice line IRIS 313-10164	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	China	leaf	IRRI	HAN NUO::IRGC 59591-1-1	IRGC 59591	HAN NUO	HAN NUO		IRGC 125757	HAN NUO::IRGC 59591-1	Aus/boro
IRIS_313-10379	4530	Oryza sativa	rice	IRIS 313-10379	WGS sequence of Rice line IRIS 313-10379	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Philippines	leaf	IRRI	IR 73688-57-2::IRGC 117383-1-1	IRGC 117383	IR 73688-57-2	IR 73688-57-2		IRGC 125980	IR 73688-57-2::IRGC 117383-1	Temperate japonica
IRIS_313-10380	4530	Oryza sativa	rice	IRIS 313-10380	WGS sequence of Rice line IRIS 313-10380	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Philippines	leaf	IRRI	IR 73690-7-2-1-1-3-2-2-1::IRGC 117384-1-1	IRGC 117384	IR 73690-7-2-1-1-3-2-2-1	IR 73690-7-2-1-1-3-2-2-1		IRGC 125981	IR 73690-7-2-1-1-3-2-2-1::IRGC 117384-1	Temperate japonica
